20070725 00:00,1.37331,1.37501,1.36961,1.37161,0,1.37329,1.37499,1.36969,1.37159,0
20070726 00:00,1.37171,1.37711,1.36581,1.36711,0,1.37169,1.37709,1.36589,1.36719,0
20070727 00:00,1.36701,1.36751,1.36301,1.36381,0,1.36709,1.36749,1.36309,1.36379,0
20070729 00:00,1.36261,1.36721,1.36211,1.36721,0,1.36269,1.36719,1.36219,1.36719,0
20070730 00:00,1.36711,1.37271,1.36591,1.37081,0,1.36719,1.37279,1.36599,1.37089,0
20070731 00:00,1.37091,1.37221,1.36371,1.36461,0,1.37089,1.37239,1.36379,1.36459,0
20070801 00:00,1.36451,1.37091,1.36421,1.36661,0,1.36459,1.37089,1.36419,1.36659,0
20070802 00:00,1.36671,1.37131,1.36511,1.36961,0,1.36659,1.37129,1.36509,1.36969,0
20070803 00:00,1.36951,1.38201,1.36891,1.37871,0,1.36959,1.38199,1.36899,1.37879,0
20070805 00:00,1.38101,1.38391,1.38071,1.38241,0,1.38109,1.38389,1.38079,1.38239,0
20070806 00:00,1.38231,1.38271,1.37801,1.37881,0,1.38239,1.38269,1.37809,1.37879,0
20070807 00:00,1.37871,1.38011,1.37211,1.37481,0,1.37879,1.38009,1.37219,1.37479,0
20070808 00:00,1.37471,1.38261,1.37451,1.37781,0,1.37479,1.38259,1.37459,1.37779,0
20070809 00:00,1.37791,1.37831,1.36491,1.36911,0,1.37789,1.37829,1.36499,1.36909,0
20070810 00:00,1.36921,1.37051,1.36411,1.36961,0,1.36919,1.37059,1.36419,1.36959,0
20070812 00:00,1.37021,1.37081,1.36541,1.36571,0,1.37029,1.37089,1.36549,1.36579,0
20070813 00:00,1.36561,1.36631,1.35631,1.35851,0,1.36569,1.36629,1.35639,1.35859,0
20070814 00:00,1.35841,1.35951,1.34751,1.34961,0,1.35849,1.35949,1.34759,1.34959,0
20070815 00:00,1.34951,1.35041,1.33851,1.34241,0,1.34959,1.35039,1.33859,1.34239,0
20070816 00:00,1.34251,1.34441,1.33601,1.34431,0,1.34249,1.34449,1.33609,1.34439,0
20070817 00:00,1.34421,1.35461,1.34321,1.34911,0,1.34429,1.35469,1.34329,1.34929,0
20070819 00:00,1.34941,1.35081,1.34821,1.34941,0,1.34949,1.35089,1.34829,1.34949,0
20070820 00:00,1.34951,1.35021,1.34601,1.34751,0,1.34959,1.35019,1.34609,1.34759,0
20070821 00:00,1.34761,1.35201,1.34501,1.34881,0,1.34769,1.35199,1.34509,1.34879,0
20070822 00:00,1.34891,1.35611,1.34671,1.35501,0,1.34889,1.35609,1.34679,1.35499,0
20070823 00:00,1.35491,1.36041,1.35421,1.35931,0,1.35499,1.36039,1.35419,1.35939,0
20070824 00:00,1.35919,1.36819,1.35819,1.36669,0,1.35931,1.36831,1.35821,1.36671,0
20070826 00:00,1.36791,1.36801,1.36511,1.36561,0,1.36799,1.36799,1.36519,1.36559,0
20070827 00:00,1.36549,1.36659,1.36179,1.36429,0,1.36561,1.36661,1.36191,1.36441,0
20070828 00:00,1.36421,1.36801,1.35631,1.35921,0,1.36429,1.36799,1.35639,1.35929,0
20070829 00:00,1.35911,1.36801,1.35881,1.36351,0,1.35919,1.36809,1.35879,1.36349,0
20070830 00:00,1.36341,1.36781,1.35921,1.36581,0,1.36349,1.36779,1.35929,1.36589,0
20070831 00:00,1.36591,1.37191,1.36201,1.36221,0,1.36589,1.37189,1.36209,1.36229,0
20070902 00:00,1.36321,1.36541,1.36301,1.36461,0,1.36329,1.36539,1.36309,1.36469,0
20070903 00:00,1.36451,1.36491,1.35921,1.35981,0,1.36459,1.36489,1.35929,1.35989,0
20070904 00:00,1.35991,1.36281,1.35511,1.35931,0,1.35989,1.36289,1.35519,1.35929,0
20070905 00:00,1.35941,1.36711,1.35731,1.36611,0,1.35939,1.36719,1.35739,1.36609,0
20070906 00:00,1.36601,1.37101,1.36431,1.36901,0,1.36609,1.37099,1.36439,1.36899,0
20070907 00:00,1.36891,1.37981,1.36831,1.37681,0,1.36899,1.37979,1.36839,1.37679,0
20070909 00:00,1.37781,1.38001,1.37661,1.37831,0,1.37789,1.37999,1.37669,1.37839,0
20070910 00:00,1.37841,1.38161,1.37751,1.37943,0,1.37839,1.38159,1.37759,1.37949,0
20070911 00:00,1.37953,1.38838,1.37942,1.38601,0,1.37949,1.38799,1.37949,1.38589,0
20070912 00:00,1.38591,1.39273,1.38571,1.39223,0,1.38599,1.39271,1.38576,1.39229,0
20070913 00:00,1.39221,1.39222,1.38631,1.38754,0,1.39226,1.39229,1.38638,1.38759,0
20070914 00:00,1.38756,1.38934,1.38441,1.38771,0,1.38759,1.38949,1.38446,1.38778,0
20070916 00:00,1.38691,1.38881,1.38531,1.38654,0,1.38699,1.38879,1.38537,1.38659,0
20070917 00:00,1.38651,1.38882,1.38283,1.38623,0,1.38649,1.38888,1.38289,1.38649,0
20070918 00:00,1.38618,1.39881,1.38572,1.39714,0,1.38644,1.39888,1.38578,1.39719,0
20070919 00:00,1.39704,1.40656,1.39361,1.40442,0,1.39709,1.40659,1.39369,1.40448,0
20070920 00:00,1.40443,1.41201,1.40232,1.40731,0,1.40448,1.41199,1.40238,1.40725,0
20070921 00:00,1.40722,1.40956,1.40422,1.40902,0,1.40727,1.40957,1.40428,1.40899,0
20070923 00:00,1.40951,1.41301,1.40941,1.41041,0,1.40959,1.41314,1.40949,1.4104,0
20070924 00:00,1.41037,1.41231,1.40611,1.40863,0,1.41039,1.41231,1.40617,1.40868,0
20070925 00:00,1.40865,1.41621,1.40862,1.41182,0,1.40868,1.41627,1.40867,1.41188,0
20070926 00:00,1.41184,1.4166,1.41121,1.41391,0,1.41188,1.41659,1.41126,1.41397,0
20070927 00:00,1.41395,1.41895,1.41333,1.41792,0,1.41399,1.41899,1.41337,1.41799,0
20070928 00:00,1.41791,1.42781,1.41722,1.42591,0,1.41799,1.42783,1.41728,1.42595,0
20070930 00:00,1.42697,1.42741,1.42172,1.42314,0,1.42699,1.42747,1.42178,1.4232,0
20071001 00:00,1.42329,1.42471,1.41782,1.41982,0,1.4232,1.42469,1.41784,1.41988,0
20071002 00:00,1.41985,1.42003,1.41391,1.41656,0,1.41988,1.42008,1.41389,1.41659,0
20071003 00:00,1.41655,1.42002,1.40781,1.41123,0,1.41659,1.42008,1.40788,1.41129,0
